date,XLY.US
2020-08-06,66.7873
2020-08-07,66.8874
2020-08-10,67.6878
2020-08-11,67.5544
2020-08-12,68.4502
2020-08-13,68.4216
2020-08-14,68.4169
2020-08-17,69.2983
2020-08-18,69.7272
2020-08-19,69.3984
2020-08-20,69.2936
2020-08-21,69.6509
2020-08-24,70.7087
2020-08-25,70.9422
2020-08-26,71.6426
2020-08-27,71.2566
2020-08-28,71.7236
2020-08-31,71.5139
2020-09-01,72.2620
2020-09-02,73.2626
2020-09-03,70.9374
2020-09-04,70.1179
2020-09-08,69.1983
2020-09-09,70.5038
2020-09-10,69.4937
2020-09-11,69.5985
2020-09-14,70.3370
2020-09-15,70.9136
2020-09-16,70.5181
2020-09-17,69.5270
2020-09-18,68.5598
2020-09-21,67.5695
2020-09-22,68.9972
2020-09-23,67.8655
2020-09-24,67.8369
2020-09-25,68.7202
2020-09-28,70.1575
2020-09-29,69.6131
2020-09-30,70.1813
2020-10-01,71.0981
2020-10-02,70.7973
2020-10-05,71.7332
2020-10-06,70.4058
2020-10-07,72.0149
2020-10-08,72.4876
2020-10-09,73.2421
2020-10-12,74.2161
2020-10-13,74.2018
2020-10-14,73.3805
2020-10-15,73.6527
2020-10-16,72.9842
2020-10-19,72.0865
2020-10-20,72.6643
2020-10-21,72.2680
2020-10-22,72.4160
2020-10-23,73.0511
2020-10-26,71.6472
2020-10-27,71.6138
2020-10-28,69.3505
2020-10-29,69.7898
2020-10-30,68.2666
2020-11-02,68.7537
2020-11-03,70.2673
2020-11-04,71.7618
2020-11-05,73.1609
2020-11-06,72.9412
2020-11-09,72.7025
2020-11-10,72.4446
2020-11-11,73.0797
2020-11-12,72.1009
2020-11-13,73.2707
2020-11-16,74.2305
2020-11-17,73.9153
2020-11-18,73.4092
2020-11-19,73.7721
2020-11-20,73.3853
2020-11-23,74.1923
2020-11-24,75.2953
2020-11-25,75.3860
2020-11-27,75.5483
2020-11-30,75.0899
2020-12-01,75.6486
2020-12-02,75.1759
2020-12-03,75.3860
2020-12-04,75.4576
2020-12-07,75.2857
2020-12-08,75.1281
2020-12-09,75.0565
2020-12-10,74.9897
2020-12-11,74.6315
2020-12-14,74.7414
2020-12-15,75.7489
2020-12-16,76.2455
2020-12-17,76.7659
2020-12-18,76.3935
2020-12-21,75.5305
2020-12-22,75.2052
2020-12-23,75.3678
2020-12-24,75.5257
2020-12-28,76.3868
2020-12-29,76.4107
2020-12-30,76.8699
2020-12-31,76.9130
2021-01-04,76.2624
2021-01-05,76.8317
2021-01-06,77.6162
2021-01-07,79.1135
2021-01-08,80.7448
2021-01-11,79.2379
2021-01-12,80.4482
2021-01-13,80.4434
2021-01-14,79.9315
2021-01-15,79.3144
2021-01-19,79.7641
2021-01-20,81.2710
2021-01-21,81.6489
2021-01-22,81.3714
2021-01-25,81.6728
2021-01-26,81.6202
2021-01-27,79.1039
2021-01-28,79.3527
2021-01-29,77.5014
2021-02-01,79.5153
2021-02-02,81.2040
2021-02-03,80.7496
2021-02-04,81.6106
2021-02-05,82.3904
2021-02-08,82.8592
2021-02-09,82.3999
2021-02-10,81.5867
2021-02-11,81.3619
2021-02-12,81.4767
2021-02-16,81.1227
2021-02-17,81.5915
2021-02-18,81.6154
