date,XLK.US
2020-05-22,45.9507
2020-05-26,45.9031
2020-05-27,46.1650
2020-05-28,46.0745
2020-05-29,46.6555
2020-06-01,46.6412
2020-06-02,47.0793
2020-06-03,47.4460
2020-06-04,47.0555
2020-06-05,48.2937
2020-06-08,48.5366
2020-06-09,48.7652
2020-06-10,49.5795
2020-06-11,46.7364
2020-06-12,47.3412
2020-06-15,47.7984
2020-06-16,48.8175
2020-06-17,48.8080
2020-06-18,49.0271
2020-06-19,48.6890
2020-06-22,49.6063
2020-06-23,49.9645
2020-06-24,48.8375
2020-06-25,49.4630
2020-06-26,48.4889
2020-06-29,49.0189
2020-06-30,49.8976
2020-07-01,49.9788
2020-07-02,50.2701
2020-07-06,51.1487
2020-07-07,50.6139
2020-07-08,51.4400
2020-07-09,51.6263
2020-07-10,51.6119
2020-07-13,50.5423
2020-07-14,51.1249
2020-07-15,51.4018
2020-07-16,50.7667
2020-07-17,51.0150
2020-07-20,52.3187
2020-07-21,51.7934
2020-07-22,52.2089
2020-07-23,50.8527
2020-07-24,50.2366
2020-07-27,51.0294
2020-07-28,50.4324
2020-07-29,51.1631
2020-07-30,51.4496
2020-07-31,52.7342
2020-08-03,54.0330
2020-08-04,54.1715
2020-08-05,54.3721
2020-08-06,55.1362
2020-08-07,54.3148
2020-08-10,54.1620
2020-08-11,53.1878
2020-08-12,54.3960
2020-08-13,54.4199
2020-08-14,54.3816
2020-08-17,54.7446
2020-08-18,54.9499
2020-08-19,54.8831
2020-08-20,55.6137
2020-08-21,56.3204
2020-08-24,56.8075
2020-08-25,57.0940
2020-08-26,58.2545
2020-08-27,58.3022
2020-08-28,58.8132
2020-08-31,58.9994
2020-09-01,60.1264
2020-09-02,60.6612
2020-09-03,57.2039
2020-09-04,56.4064
2020-09-08,53.8564
2020-09-09,55.6137
2020-09-10,54.3578
2020-09-11,53.9423
2020-09-14,55.0741
2020-09-15,55.6185
2020-09-16,54.7589
2020-09-17,54.3052
2020-09-18,53.3693
2020-09-21,53.8129
2020-09-22,54.6648
2020-09-23,52.9610
2020-09-24,53.2578
2020-09-25,54.5308
2020-09-28,55.5741
2020-09-29,55.3875
2020-09-30,55.8517
2020-10-01,56.4404
2020-10-02,55.0094
2020-10-05,56.2155
2020-10-06,55.3444
2020-10-07,56.3590
2020-10-08,56.6510
2020-10-09,57.5172
2020-10-12,59.0870
2020-10-13,58.7089
2020-10-14,58.3978
2020-10-15,58.1346
2020-10-16,57.9671
2020-10-19,56.9046
2020-10-20,57.1009
2020-10-21,57.0147
2020-10-22,56.7467
2020-10-23,56.6845
2020-10-26,55.4545
2020-10-27,55.7321
2020-10-28,53.3678
2020-10-29,54.2580
2020-10-30,53.0568
2020-11-02,53.1908
2020-11-03,54.1288
2020-11-04,56.2346
2020-11-05,57.9815
2020-11-06,58.1873
2020-11-09,57.7661
2020-11-10,56.6893
2020-11-11,58.0341
2020-11-12,57.5172
2020-11-13,58.0054
2020-11-16,58.5654
2020-11-17,58.2399
2020-11-18,57.6177
2020-11-19,58.0820
2020-11-20,57.4837
2020-11-23,57.4694
2020-11-24,58.2686
2020-11-25,58.3931
2020-11-27,58.7041
2020-11-30,59.0966
2020-12-01,59.8528
2020-12-02,59.7618
2020-12-03,59.7235
2020-12-04,60.3218
2020-12-07,60.4941
2020-12-08,60.6903
2020-12-09,59.5273
2020-12-10,59.6135
2020-12-11,59.4890
2020-12-14,59.7044
2020-12-15,60.6999
2020-12-16,61.1115
2020-12-17,61.5948
2020-12-18,61.3795
2020-12-21,61.4409
2020-12-22,61.9734
2020-12-23,61.5032
2020-12-24,61.9110
2020-12-28,62.6114
2020-12-29,62.3139
2020-12-30,62.2804
2020-12-31,62.3715
2021-01-04,61.3545
2021-01-05,61.7527
2021-01-06,60.6877
2021-01-07,62.3235
2021-01-08,62.7265
2021-01-11,62.2084
2021-01-12,61.9110
2021-01-13,62.3044
2021-01-14,61.7575
2021-01-15,61.1243
2021-01-19,61.9206
2021-01-20,63.1486
2021-01-21,63.9641
2021-01-22,63.7195
2021-01-25,64.2520
2021-01-26,64.2951
2021-01-27,63.0815
2021-01-28,63.3405
2021-01-29,61.8486
2021-02-01,63.3981
2021-02-02,64.2568
2021-02-03,64.0361
2021-02-04,65.0579
2021-02-05,64.9140
2021-02-08,65.5951
2021-02-09,65.5184
2021-02-10,65.4224
2021-02-11,66.1420
2021-02-12,66.4826
2021-02-16,66.2667
2021-02-17,65.6815
2021-02-18,65.3601
2021-02-19,65.2641
2021-02-22,63.8250
2021-02-23,63.6475
2021-02-24,64.6213
2021-02-25,62.3619
2021-02-26,62.6929
2021-03-01,64.7125
2021-03-02,63.6859
2021-03-03,62.0837
2021-03-04,60.7117
2021-03-05,61.8582
2021-03-08,60.3615
2021-03-09,62.4147
2021-03-10,62.1652
2021-03-11,63.4940
2021-03-12,63.0383
2021-03-15,63.7099
2021-03-16,64.1896
2021-03-17,64.1368
2021-03-18,62.3571
2021-03-19,62.1700
2021-03-22,63.3925
2021-03-23,62.9983
2021-03-24,62.2340
2021-03-25,62.1955
2021-03-26,63.7771
2021-03-29,63.4454
2021-03-30,62.8445
2021-03-31,63.8444
2021-04-01,65.1279
2021-04-05,66.4739
2021-04-06,66.1903
2021-04-07,66.5412
2021-04-08,67.5027
2021-04-09,68.1516
2021-04-12,67.8247
2021-04-13,68.4641
2021-04-14,67.7382
2021-04-15,68.9015
2021-04-16,68.8871
2021-04-19,68.3151
2021-04-20,67.7094
2021-04-21,68.3920
2021-04-22,67.5892
2021-04-23,68.5987
2021-04-26,68.9496
2021-04-27,68.7814
2021-04-28,68.1420
2021-04-29,68.0843
2021-04-30,67.1565
2021-05-03,66.9691
2021-05-04,65.7673
2021-05-05,65.6086
2021-05-06,66.2672
2021-05-07,66.8345
2021-05-10,65.1471
2021-05-11,64.9500
2021-05-12,63.1233
2021-05-13,63.9598
2021-05-14,65.3683
2021-05-17,64.8875
2021-05-18,64.3684
2021-05-19,64.5943
2021-05-20,65.8298
2021-05-21,65.4692
2021-05-24,66.6326
2021-05-25,66.6518
2021-05-26,66.6470
2021-05-27,66.2960
2021-05-28,66.5316
2021-06-01,66.2047
2021-06-02,66.6614
2021-06-03,66.0413
2021-06-04,67.3104
2021-06-07,67.2959
2021-06-08,67.3008
2021-06-09,67.3488
2021-06-10,67.8440
2021-06-11,68.2478
